generation,member,ar_rate_total,mean_conc,ar_rate_total_sd,mean_conc_sd,ar_rate_total_sd_syn,mean_conc_sd_syn,nsga2_front,nsga2_crowding_distance,nn_count,spea2_unconstrained_fitness,spea2_constrained_fitness,is_feasible,feasible_distance
300,gen=1495_member=29499_pso,6.8299,-0.336012,0,0.598026,0.0189383,0.598026,1,1.0,0,0.473267,0.473267,1,-999
300,gen=1469_member=26899_pso,6.1031,1.45172,0,0.976448,0.0189383,0.976448,1,1.0,0,0.36293,0.36293,1,-999
300,gen=1497_member=29603_pso,7.87958,-0.921126,0,0.598166,0.0189383,0.598166,1,1.0,0,0.477448,0.477448,1,-999
300,gen=1500_member=29910_pso,7.93297,-0.902748,0,0.600142,0.0189383,0.600142,1,1.0,0,0.469237,0.469237,1,-999
300,gen=1499_member=29895_pso,7.48657,-0.739559,0,0.558129,0.0189383,0.558129,1,1.0,0,0.478283,0.478283,1,-999
300,gen=1495_member=29429_pso,6.21647,1.21938,0,1.79283,0.0189383,1.79283,1,1.0,0,0.449665,0.449665,1,-999
300,gen=1499_member=29841_pso,7.59149,-0.867378,0,0.604935,0.0189383,0.604935,1,1.0,0,0.469628,0.469628,1,-999
300,gen=1433_member=23240_pso,7.99692,-1.04729,0,0.565409,0.0189383,0.565409,1,1.0,0,0.444174,0.444174,1,-999
300,gen=1444_member=24375_pso,6.72829,-0.304,0,0.593394,0.0189383,0.593394,1,1.0,0,0.473504,0.473504,1,-999
300,gen=1498_member=29743_pso,7.16811,-0.67951,0,0.576513,0.0189383,0.576513,1,1.0,0,0.473049,0.473049,1,-999
300,gen=1500_member=29988_pso,7.32935,-0.700393,0,0.572888,0.0189383,0.572888,1,1.0,0,0.475919,0.475919,1,-999
300,gen=1498_member=29744_pso,7.03159,-0.731186,0,0.587816,0.0189383,0.587816,1,1.0,0,0.465894,0.465894,1,-999
300,gen=1494_member=29385_pso,6.30731,1.27091,0,1.67013,0.0189383,1.67013,1,1.0,0,0.463467,0.463467,1,-999
300,gen=1472_member=27177_pso,6.6817,-0.37094,0,0.586178,0.0189383,0.586178,1,1.0,0,0.46453,0.46453,1,-999
300,gen=1488_member=28714_pso,7.81013,-0.857143,0,0.59547,0.0189383,0.59547,1,1.0,0,0.476356,0.476356,1,-999
300,gen=1496_member=29592_pso,6.54476,0.839658,0,1.78042,0.0189383,1.78042,1,1.0,0,0.449701,0.449701,1,-999
300,gen=1494_member=29311_pso,6.66045,0.666999,0,1.80787,0.0189383,1.80787,1,1.0,0,0.411747,0.411747,1,-999
300,gen=1500_member=29922_pso,7.5338,-0.810215,0,0.557364,0.0189383,0.557364,1,1.0,0,0.469,0.469,1,-999
300,gen=1499_member=29868_pso,7.71209,-0.841534,0,0.595398,0.0189383,0.595398,1,1.0,0,0.473107,0.473107,1,-999
300,gen=1500_member=29960_pso,6.77635,-0.363012,0,0.592214,0.0189383,0.592214,1,1.0,0,0.477169,0.477169,1,-999
300,gen=1499_member=29855_pso,7.7731,-0.87423,0,0.590827,0.0189383,0.590827,1,1.0,0,0.472461,0.472461,1,-999
300,gen=1497_member=29604_pso,6.91655,-0.614174,0,0.588777,0.0189383,0.588777,1,1.0,0,0.457686,0.457686,1,-999
300,gen=1498_member=29769_pso,6.26621,1.4169,0,0.998631,0.0189383,0.998631,1,1.0,0,0.371966,0.371966,1,-999
300,gen=1494_member=29368_pso,7.12795,-0.779293,0,0.575427,0.0189383,0.575427,1,1.0,0,0.474481,0.474481,1,-999
300,gen=1484_member=28379_pso,7.0329,-0.731761,0,0.587706,0.0189383,0.587706,1,0.444444,1,0.466116,0.466116,1,-999
300,gen=1499_member=29875_pso,6.86952,-0.533661,0,0.583324,0.0189383,0.583324,1,0.444444,1,0.455658,0.455658,1,-999
300,gen=1500_member=29991_pso,7.17875,-0.714453,0,0.582735,0.0189383,0.582735,1,0.444444,1,0.475042,0.475042,1,-999
300,gen=1500_member=29936_pso,7.71076,-0.735471,0,0.601112,0.0189383,0.601112,1,0.444444,1,0.460731,0.460731,1,-999
300,gen=1500_member=29990_pso,7.06402,-0.745787,0,0.585305,0.0189383,0.585305,1,0.444444,1,0.467272,0.467272,1,-999
300,gen=1500_member=29987_pso,6.92297,-0.620728,0,0.588799,0.0189383,0.588799,1,0.444444,1,0.456927,0.456927,1,-999
300,gen=1498_member=29765_pso,7.59878,-0.840305,0,0.604506,0.0189383,0.604506,1,0.444444,1,0.471255,0.471255,1,-999
300,gen=1500_member=29902_pso,7.81411,-0.878147,0,0.599412,0.0189383,0.599412,1,0.444444,1,0.476801,0.476801,1,-999
300,gen=1497_member=29602_pso,7.39816,-0.748529,0,0.575424,0.0189383,0.575424,1,0.444444,1,0.478348,0.478348,1,-999
300,gen=1499_member=29803_pso,6.37301,1.21963,0,1.63279,0.0189383,1.63279,1,0.444444,1,0.46217,0.46217,1,-999
300,gen=1499_member=29858_pso,7.37897,-0.72673,0,0.567607,0.0189383,0.567607,1,0.444444,1,0.475066,0.475066,1,-999
300,gen=1500_member=29914_pso,7.89257,-0.930434,0,0.605299,0.0189383,0.605299,1,0.444444,1,0.473765,0.473765,1,-999
300,gen=1489_member=28846_pso,6.40805,1.18405,0,1.62664,0.0189383,1.62664,1,0.444444,1,0.457862,0.457862,1,-999
300,gen=1491_member=29046_pso,7.95603,-0.9172,0,0.598419,0.0189383,0.598419,1,0.444444,1,0.465722,0.465722,1,-999
300,gen=1493_member=29233_pso,7.25716,-0.589818,0,0.570998,0.0189383,0.570998,1,0.444444,1,0.46524,0.46524,1,-999
300,gen=1500_member=29926_pso,6.38659,0.996685,0,1.79953,0.0189383,1.79953,1,0.444444,1,0.439444,0.439444,1,-999
300,gen=1499_member=29802_pso,6.95204,-0.638735,0,0.592305,0.0189383,0.592305,1,0.444444,1,0.456431,0.456431,1,-999
300,gen=1494_member=29384_pso,6.4387,1.3309,0,1.73331,0.0189383,1.73331,1,0.444444,1,0.454106,0.454106,1,-999
300,gen=1498_member=29762_pso,7.24884,-0.75959,0,0.583803,0.0189383,0.583803,1,0.444444,1,0.472705,0.472705,1,-999
300,gen=1495_member=29434_pso,6.83852,-0.35027,0,0.591423,0.0189383,0.591423,1,0.444444,1,0.471796,0.471796,1,-999
300,gen=1498_member=29735_pso,6.33305,1.41174,0,0.892544,0.0189383,0.892544,1,0.444444,1,0.358339,0.358339,1,-999
300,gen=1493_member=29277_pso,7.21765,-0.7364,0,0.552075,0.0189383,0.552075,1,0.444444,1,0.475707,0.475707,1,-999
300,gen=1455_member=25457_pso,6.42389,1.26622,0,1.75575,0.0189383,1.75575,1,0.444444,1,0.461648,0.461648,1,-999
300,gen=1371_member=17032_pso,6.11483,1.57379,0,1.03786,0.0189383,1.03786,1,0.444444,1,0.365105,0.365105,1,-999
300,gen=1496_member=29532_pso,7.84569,-0.898046,0,0.597549,0.0189383,0.597549,1,0.444444,1,0.481534,0.481534,1,-999
300,gen=1492_member=29173_pso,7.77488,-0.875258,0,0.590745,0.0189383,0.590745,1,0.444444,1,0.472915,0.472915,1,-999
300,gen=1497_member=29627_pso,6.60395,0.863203,0,1.75344,0.0189383,1.75344,1,0.444444,1,0.442633,0.442633,1,-999
300,gen=1497_member=29666_pso,7.28967,-0.652804,0,0.567475,0.0189383,0.567475,1,0.444444,1,0.472606,0.472606,1,-999
300,gen=1497_member=29668_pso,7.53949,-0.813348,0,0.55706,0.0189383,0.55706,1,0.444444,1,0.470278,0.470278,1,-999
300,gen=1495_member=29436_pso,6.79464,-0.381641,0,0.566652,0.0189383,0.566652,1,0.444444,1,0.474931,0.474931,1,-999
300,gen=1498_member=29708_pso,7.49242,-0.788171,0,0.559645,0.0189383,0.559645,1,0.444444,1,0.475407,0.475407,1,-999
300,gen=1418_member=21714_pso,6.68566,-0.393912,0,0.589535,0.0189383,0.589535,1,0.444444,1,0.463896,0.463896,1,-999
300,gen=1453_member=25278_pso,6.73423,-0.308722,0,0.592577,0.0189383,0.592577,1,0.444444,1,0.475173,0.475173,1,-999
300,gen=1497_member=29686_pso,6.27005,1.22162,0,1.71159,0.0189383,1.71159,1,0.444444,1,0.461648,0.461648,1,-999
300,gen=1459_member=25889_pso,6.48359,1.31365,0,0.896051,0.0189383,0.896051,1,0.444444,1,0.352282,0.352282,1,-999
300,gen=1483_member=28279_pso,6.55338,0.833509,0,1.78113,0.0189383,1.78113,1,0.444444,1,0.447615,0.447615,1,-999
300,gen=1492_member=29130_pso,7.34643,-0.708638,0,0.574367,0.0189383,0.574367,1,0.444444,1,0.478185,0.478185,1,-999
300,gen=1490_member=28908_pso,6.21833,1.21782,0,1.79291,0.0189383,1.79291,1,0.444444,1,0.449915,0.449915,1,-999
300,gen=1488_member=28754_pso,7.6303,-0.885632,0,0.607125,0.0189383,0.607125,1,0.444444,1,0.466379,0.466379,1,-999
300,gen=1479_member=27876_pso,6.66542,0.663555,0,1.80809,0.0189383,1.80809,1,0.444444,1,0.410761,0.410761,1,-999
300,gen=1497_member=29699_pso,6.87255,-0.437967,0,0.600003,0.0189383,0.600003,1,0.444444,1,0.457382,0.457382,1,-999
300,gen=1487_member=28680_pso,7.13445,-0.782236,0,0.574922,0.0189383,0.574922,1,0.444444,1,0.47301,0.47301,1,-999
300,gen=1481_member=28052_pso,6.45512,1.2964,0,1.74446,0.0189383,1.74446,1,0.444444,1,0.454071,0.454071,1,-999
300,gen=1481_member=28010_pso,6.50155,1.28596,0,1.77506,0.0189383,1.77506,1,0.444444,1,0.444738,0.444738,1,-999
300,gen=1496_member=29526_pso,7.50135,-0.792353,0,0.559143,0.0189383,0.559143,1,0.111111,2,0.474157,0.474157,1,-999
300,gen=1496_member=29511_pso,7.35853,-0.694112,0,0.579659,0.0189383,0.579659,1,0.111111,2,0.478659,0.478659,1,-999
300,gen=1499_member=29809_pso,6.60673,0.689785,0,1.80386,0.0189383,1.80386,1,0.111111,2,0.420572,0.420572,1,-999
300,gen=1496_member=29537_pso,7.60629,-0.764913,0,0.548252,0.0189383,0.548252,1,0.111111,2,0.468069,0.468069,1,-999
300,gen=1444_member=24321_pso,6.68591,-0.39416,0,0.589533,0.0189383,0.589533,1,0.111111,2,0.463926,0.463926,1,-999
300,gen=1499_member=29897_pso,7.84745,-0.899097,0,0.597493,0.0189383,0.597493,1,0.111111,2,0.481075,0.481075,1,-999
300,gen=1497_member=29648_pso,7.90099,-0.935326,0,0.604982,0.0189383,0.604982,1,0.111111,2,0.471644,0.471644,1,-999
300,gen=1495_member=29472_pso,7.83819,-0.898968,0,0.602792,0.0189383,0.602792,1,0.111111,2,0.482487,0.482487,1,-999
300,gen=1497_member=29643_pso,7.22283,-0.668611,0,0.54394,0.0189383,0.54394,1,0.111111,2,0.474682,0.474682,1,-999
300,gen=1497_member=29631_pso,6.33698,1.26577,0,1.7513,0.0189383,1.7513,1,0.111111,2,0.468479,0.468479,1,-999
300,gen=1499_member=29800_pso,6.55939,0.828851,0,1.78142,0.0189383,1.78142,1,0.111111,2,0.446115,0.446115,1,-999
300,gen=1487_member=28660_pso,6.79915,-0.386397,0,0.566652,0.0189383,0.566652,1,0.111111,2,0.473504,0.473504,1,-999
300,gen=1500_member=29998_pso,7.43105,-0.765571,0,0.572925,0.0189383,0.572925,1,0.111111,2,0.475736,0.475736,1,-999
300,gen=1500_member=29996_pso,6.34383,1.2917,0,1.74505,0.0189383,1.74505,1,0.111111,2,0.464405,0.464405,1,-999
300,gen=1500_member=29928_pso,7.40546,-0.752345,0,0.574959,0.0189383,0.574959,1,0.111111,2,0.477971,0.477971,1,-999
300,gen=1448_member=24777_pso,6.73638,-0.310962,0,0.592573,0.0189383,0.592573,1,0.111111,2,0.47585,0.47585,1,-999
300,gen=1487_member=28685_pso,7.27737,-0.710694,0,0.546656,0.0189383,0.546656,1,0.111111,2,0.475066,0.475066,1,-999
300,gen=1500_member=29917_pso,7.05393,-0.597103,0,0.586419,0.0189383,0.586419,1,0.111111,2,0.465326,0.465326,1,-999
300,gen=1490_member=28901_pso,7.41348,-0.756611,0,0.574456,0.0189383,0.574456,1,0.111111,2,0.479318,0.479318,1,-999
300,gen=1492_member=29125_pso,7.19903,-0.726347,0,0.553411,0.0189383,0.553411,1,0.111111,2,0.478166,0.478166,1,-999
300,gen=1493_member=29215_pso,7.63039,-0.885678,0,0.607121,0.0189383,0.607121,1,0.111111,2,0.466397,0.466397,1,-999
300,gen=1493_member=29281_pso,6.13767,1.48094,0,1.00384,0.0189383,1.00384,1,0.111111,2,0.365963,0.365963,1,-999
300,gen=1489_member=28839_pso,6.22671,1.25964,0,1.69643,0.0189383,1.69643,1,0.111111,2,0.453308,0.453308,1,-999
300,gen=1499_member=29889_pso,6.87657,-0.438877,0,0.599839,0.0189383,0.599839,1,0.111111,2,0.457038,0.457038,1,-999
300,gen=1471_member=27030_pso,6.57643,0.952423,0,1.75961,0.0189383,1.75961,1,0.111111,2,0.433627,0.433627,1,-999
300,gen=1500_member=29944_pso,7.72,-0.853406,0,0.600416,0.0189383,0.600416,1,0.111111,2,0.471255,0.471255,1,-999
300,gen=1500_member=29945_pso,7.43624,-0.719806,0,0.562755,0.0189383,0.562755,1,0.111111,2,0.478185,0.478185,1,-999
300,gen=1476_member=27511_pso,6.27139,1.13776,0,1.70771,0.0189383,1.70771,1,0.111111,2,0.459944,0.459944,1,-999
300,gen=1474_member=27343_pso,6.12845,1.47281,0,1.64966,0.0189383,1.64966,1,0.111111,2,0.425095,0.425095,1,-999
300,gen=1472_member=27146_pso,7.06673,-0.722009,0,0.58583,0.0189383,0.58583,1,0.111111,2,0.470464,0.470464,1,-999
300,gen=1471_member=27075_pso,6.66964,0.800019,0,1.77872,0.0189383,1.77872,1,0.111111,2,0.426385,0.426385,1,-999
300,gen=1495_member=29461_pso,7.13367,-0.697506,0,0.594878,0.0189383,0.594878,1,0.111111,2,0.474683,0.474683,1,-999
